Handle,Title,Body (HTML),Vendor,Brand Image,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,Discount Type,Discount Value,Discount Start Date,Discount End Date,Discount IsActive,Review User ID,Review Rating,Review Comment
basic-tshirt,Basic T-Shirt,Red cotton T-shirt,StyleWear,https://logos-world.net/wp-content/uploads/2020/04/Adidas-Logo.png,Clothing,Color,Red,Size,M,NPSW-TSHIRT-RED-M,499,20,https://tse1.mm.bing.net/th?id=OIP.RfkMQbNMaiaQYgY-lRsvUQHaJT&pid=Api&P=0&h=180,5,Great quality and very soft!
jeans-slim,Slim Fit Jeans,Blue denim jeans,DenimCo,https://pngimagefree.com/wp-content/uploads/Allen-Solly-Logo-PNG-Transparent-1.png,Bottomwear,Color,Blue,Size,32,NPDC-JEANS-BLU-32,999,10,https://tse2.mm.bing.net/th?id=OIP.e-j2sPhrAUEGuC2IvTqq2wAAAA&pid=Api&P=0&h=180,10,2025-06-25,2025-07-01,true,6651f944b3d953adbd90cd2b,4,Comfortable and fits well
sports-shoes,Sports Shoes,Running shoes for men,RunTrack,https://tse1.mm.bing.net/th?id=OIP.OFAJjiEH5qsHo77r9dY64gHaEK&pid=Api&P=0&h=180,Footwear,Color,Black,Size,9,NRTN-SHOES-BLK-9,1999,20,https://tse3.mm.bing.net/th?id=OIP.RBr0sduFas_PMPySBwZnjAHaHa&pid=Api&P=0&h=180,flat,120,2025-06-23,2025-06-30,true,6651f944b3d953adbd90cd2c,4,Good grip, perfect for gym
watch-digital,Digital Watch,LED waterproof wrist watch,TimeX,https://seeklogo.com/images/F/fossil-watch-logo-E4AB506DD0-seeklogo.com.png,Accessories,Color,Black,Size,Free Size,NTXN-WATCH-BLK,1499,40,https://www.luxerwatches.ca/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/e/me3110.jpg,percentage,25,2025-06-20,2025-06-30,true,6651f944b3d953adbd90cd2d,3,Battery could last longer
hoodie-grey,Cotton Hoodie,Grey hoodie with front zip,WarmWear,https://example.com/brand/warmwear.png,Winterwear,Color,Grey,Size,M,NWW-HOODIE-GRY-M,899,12,https://tse1.mm.bing.net/th?id=OIP.OTGav2uqWJfprjyFsPX_pgHaJe&pid=Api&P=0&h=180,percentage,15,2025-06-25,2025-07-02,true,6651f944b3d953adbd90cd2e,5,Super warm and stylish
formal-shirt,Formal Shirt,White formal office shirt,UrbanStyle,https://example.com/brand/urbanstyle.png,Clothing,Color,White,Size,42,NUS-FORMAL-WHT-42,799,18,https://tse1.mm.bing.net/th?id=OIP.OTGav2uqWJfprjyFsPX_pgHaJe&pid=Api&P=0&h=180,flat,50,2025-06-26,2025-07-05,true,6651f944b3d953adbd90cd2f,4,Sleek and office-appropriate
joggers-basic,Basic Joggers,Grey cotton joggers,FitnessFit,https://example.com/brand/fitnessfit.png,Bottomwear,Color,Grey,Size,L,NFF-JOG-GRY-L,699,30,https://tse1.mm.bing.net/th?id=OIP.OTGav2uqWJfprjyFsPX_pgHaJe&pid=Api&P=0&h=180,flat,40,2025-06-26,2025-07-05,true,6651f944b3d953adbd90cd30,5,Very comfy and stretchy
cap-classic,Classic Cap,Adjustable fit cotton cap,HeadZone,https://example.com/brand/headzone.png,Accessories,Color,Black,Size,Free Size,NHZ-CAP-BLK,299,50,https://tse2.mm.bing.net/th?id=OIP.RLz8-84uSY2zrSGJM2edLQHaHa&pid=Api&P=0&h=180,percentage,20,2025-06-28,2025-07-08,true,6651f944b3d953adbd90cd31,3,Decent but slightly loose
socks-sports,Sports Socks,Breathable sports socks,SoleMate,https://example.com/brand/solemate.png,Accessories,Color,White,Size,Free Size,NSM-SOCKS-WHT,199,100,https://tse3.mm.bing.net/th?id=OIP.aTmTQOYlpjwCbYu9Xy-IeAHaHL&pid=Api&P=0&h=180,percentage,10,2025-06-28,2025-07-05,true,6651f944b3d953adbd90cd32,4,Affordable and breathable
bag-leather,Leather Bag,Genuine leather office bag,LeatherLux,https://example.com/brand/leatherlux.png,Bags,Color,Brown,Size,Medium,NLL-BAG-BRN,2499,5,https://tse1.mm.bing.net/th?id=OIP.pa5kIalNl3Lzig-kIO4srQHaHa&pid=Api&P=0&h=180,flat,200,2025-06-27,2025-07-10,true,6651f944b3d953adbd90cd33,5,Premium look and feel
